"RG","TG"
"STAT3_PIK3R3","STAT3","PIK3R3"
"STAT5A_PIK3R3","STAT5A","PIK3R3"
"STAT5B_PIK3R3","STAT5B","PIK3R3"
"PIM1_PIK3R3","PIM1","PIK3R3"
"CSF1R_PIK3R3","CSF1R","PIK3R3"
"MPO_PIK3R3","MPO","PIK3R3"
"CSF2_PIK3R3","CSF2","PIK3R3"
"IL3_PIK3R3","IL3","PIK3R3"
"RARA_PIK3R3","RARA","PIK3R3"
"PER2_PIK3R3","PER2","PIK3R3"
"SPI1_PIK3R3","SPI1","PIK3R3"
"CD14_PIK3R3","CD14","PIK3R3"
"ITGAM_PIK3R3","ITGAM","PIK3R3"
"CCNA2_PIK3R3","CCNA2","PIK3R3"
"MYC_PIK3R3","MYC","PIK3R3"
"DUSP6_PIK3R3","DUSP6","PIK3R3"
"JUP_PIK3R3","JUP","PIK3R3"
"TCF7L1_PIK3R3","TCF7L1","PIK3R3"
"TCF7L2_PIK3R3","TCF7L2","PIK3R3"
"LEF1_PIK3R3","LEF1","PIK3R3"
"CCND1_PIK3R3","CCND1","PIK3R3"
"PIK3R1_P3R3URF.PIK3R3","PIK3R1","P3R3URF.PIK3R3"
"PIK3R2_P3R3URF.PIK3R3","PIK3R2","P3R3URF.PIK3R3"
"PIK3R3_P3R3URF.PIK3R3","PIK3R3","P3R3URF.PIK3R3"
"AKT1_P3R3URF.PIK3R3","AKT1","P3R3URF.PIK3R3"
"AKT2_P3R3URF.PIK3R3","AKT2","P3R3URF.PIK3R3"
"CHUK_P3R3URF.PIK3R3","CHUK","P3R3URF.PIK3R3"
"EIF4EBP1_P3R3URF.PIK3R3","EIF4EBP1","P3R3URF.PIK3R3"
"RPS6KB1_P3R3URF.PIK3R3","RPS6KB1","P3R3URF.PIK3R3"
"RPS6KB2_P3R3URF.PIK3R3","RPS6KB2","P3R3URF.PIK3R3"
"SOS2_P3R3URF.PIK3R3","SOS2","P3R3URF.PIK3R3"
"ARAF_P3R3URF.PIK3R3","ARAF","P3R3URF.PIK3R3"
"BRAF_P3R3URF.PIK3R3","BRAF","P3R3URF.PIK3R3"
"RAF1_P3R3URF.PIK3R3","RAF1","P3R3URF.PIK3R3"
"MAPK1_P3R3URF.PIK3R3","MAPK1","P3R3URF.PIK3R3"
"STAT5B_P3R3URF.PIK3R3","STAT5B","P3R3URF.PIK3R3"
"IL3_P3R3URF.PIK3R3","IL3","P3R3URF.PIK3R3"
"PML_P3R3URF.PIK3R3","PML","P3R3URF.PIK3R3"
"PER2_P3R3URF.PIK3R3","PER2","P3R3URF.PIK3R3"
"CD14_P3R3URF.PIK3R3","CD14","P3R3URF.PIK3R3"
"MYC_P3R3URF.PIK3R3","MYC","P3R3URF.PIK3R3"
"JUP_P3R3URF.PIK3R3","JUP","P3R3URF.PIK3R3"
"TCF7_P3R3URF.PIK3R3","TCF7","P3R3URF.PIK3R3"
"TCF7L1_P3R3URF.PIK3R3","TCF7L1","P3R3URF.PIK3R3"
"TCF7L2_P3R3URF.PIK3R3","TCF7L2","P3R3URF.PIK3R3"
"CCND1_P3R3URF.PIK3R3","CCND1","P3R3URF.PIK3R3"
"KIT_AKT1","KIT","AKT1"
"FLT3_AKT1","FLT3","AKT1"
"PIK3CA_AKT1","PIK3CA","AKT1"
"PIK3CD_AKT1","PIK3CD","AKT1"
"PIK3CB_AKT1","PIK3CB","AKT1"
"PIK3R2_AKT1","PIK3R2","AKT1"
"PIK3R3_AKT1","PIK3R3","AKT1"
"P3R3URF.PIK3R3_AKT1","P3R3URF.PIK3R3","AKT1"
"AKT3_AKT1","AKT3","AKT1"
"IKBKB_AKT1","IKBKB","AKT1"
"IKBKG_AKT1","IKBKG","AKT1"
"NFKB1_AKT1","NFKB1","AKT1"
"MTOR_AKT1","MTOR","AKT1"
"EIF4EBP1_AKT1","EIF4EBP1","AKT1"
"RPS6KB2_AKT1","RPS6KB2","AKT1"
"GRB2_AKT1","GRB2","AKT1"
"SOS2_AKT1","SOS2","AKT1"
"HRAS_AKT1","HRAS","AKT1"
"ARAF_AKT1","ARAF","AKT1"
"BRAF_AKT1","BRAF","AKT1"
"MAP2K2_AKT1","MAP2K2","AKT1"
"MAPK1_AKT1","MAPK1","AKT1"
"MAPK3_AKT1","MAPK3","AKT1"
"STAT3_AKT1","STAT3","AKT1"
"STAT5A_AKT1","STAT5A","AKT1"
"STAT5B_AKT1","STAT5B","AKT1"
"PIM1_AKT1","PIM1","AKT1"
"PIM2_AKT1","PIM2","AKT1"
"CSF1R_AKT1","CSF1R","AKT1"
"MPO_AKT1","MPO","AKT1"
"PML_AKT1","PML","AKT1"
"RARA_AKT1","RARA","AKT1"
"ZBTB16_AKT1","ZBTB16","AKT1"
